HGNC,BaseMean,log2FC,StdErr,Wald-Stats,P-value,P-adj
EP300,733.336560855417,-0.742436656914258,0.139753382111106,-5.31247720591128,1.08144957284547E-07,8.41603946316123E-06
WDR54,555.188589793797,0.619609648507379,0.116661478286617,5.31117604206167,1.08920051426445E-07,8.4279223792314E-06
HDDC3,822.23549695221,0.566606100996597,0.106793722336574,5.30561243301237,1.12295325660711E-07,8.59470469541266E-06
CDIPT,1732.06212380295,0.564146873832051,0.10633182251138,5.30553187660896,1.12344932507794E-07,8.59470469541266E-06
CHPF,5798.18703496346,0.55328013734504,0.104339986303913,5.30266637886545,1.14123372867022E-07,8.63321001113043E-06
FASTKD5,279.990067825181,-0.742100051234901,0.139943560564222,-5.30285243738914,1.14007075334603E-07,8.63321001113043E-06
SGSM3,399.335091886212,0.667389117280348,0.125961658009805,5.29835132233968,1.16852968867351E-07,8.79058917462666E-06
MRPL44,424.37049615495,-0.651285145118946,0.123043417703112,-5.2931327597744,1.20238565011074E-07,8.99530612604946E-06
IRF9,242.560413620699,1.03835059703695,0.196463482767909,5.28520915138005,1.25561217567004E-07,9.29084397308636E-06
SMCR8,218.429830065564,-0.860578852809228,0.162811600007824,-5.28573426443739,1.25201532975047E-07,9.29084397308636E-06
ZNF24,517.316390315652,-0.865408889542775,0.163836414697188,-5.28215226842136,1.27675011741063E-07,9.39590942383554E-06
CCNA2,1267.81334542329,-0.512216476854985,0.097319570506641,-5.26324226656992,1.41536872464957E-07,1.03597340002593E-05
SLC38A10,7004.39522117236,0.522797310596254,0.099390018999745,5.26005846319033,1.44009607174959E-07,1.0432624231251E-05
RIPK4,252.701901255269,-0.872711202321162,0.165915410258153,-5.25997676143092,1.4407360839258E-07,1.0432624231251E-05
WAC,736.691527864167,-0.710216925306547,0.135175901537086,-5.25402025975536,1.48814500153102E-07,1.07186018434742E-05
MAP1S,983.604644708743,0.548086829351774,0.104408653322379,5.2494387381807,1.52563324382147E-07,1.09304760606278E-05
CLPX,1008.46551204714,-0.548762053162408,0.104573008668047,-5.24764525905898,1.54055572198097E-07,1.09792973849181E-05
EPHX1,2301.04418569006,0.60030417001354,0.114585595383061,5.23891478686055,1.61523593640724E-07,1.14512616831887E-05
WDR34,1982.80948241595,0.565089610260222,0.10792797897589,5.23580276052846,1.64269305789206E-07,1.15852639046439E-05
SLC3A2,12986.0626625783,0.551529307737423,0.105416347815151,5.23191439628069,1.67763443380688E-07,1.17703874964658E-05
FBXO28,539.780564661937,-0.659484327834113,0.126181570731283,-5.22647106080613,1.72775846401276E-07,1.20595759593798E-05
ADNP2,273.208035838725,-0.820757089295638,0.157410306827116,-5.21412546509471,1.84686441047476E-07,1.28248158883275E-05
EXT1,802.302987452447,-0.644653330017962,0.123849922749106,-5.20511693272425,1.93874486622511E-07,1.33941552212011E-05
